"year","age","marst","sex","people"
1850,0,0,1,1483789
1850,0,0,2,1450376
1850,5,0,1,1411067
1850,5,0,2,1359668
1850,10,0,1,1260099
1850,10,0,2,1216114
1850,15,0,1,1077133
1850,15,0,2,1110619
1850,20,0,1,1017281
1850,20,0,2,1003841
1850,25,0,1,862547
1850,25,0,2,799482
1850,30,0,1,730638
1850,30,0,2,639636
1850,35,0,1,588487
1850,35,0,2,505012
1850,40,0,1,475911
1850,40,0,2,428185
1850,45,0,1,384211
1850,45,0,2,341254
1850,50,0,1,321343
1850,50,0,2,286580
1850,55,0,1,194080
1850,55,0,2,187208
1850,60,0,1,174976
1850,60,0,2,162236
1850,65,0,1,106827
1850,65,0,2,105534
1850,70,0,1,73677
1850,70,0,2,71762
1850,75,0,1,40834
1850,75,0,2,40229
1850,80,0,1,23449
1850,80,0,2,22949
1850,85,0,1,8186
1850,85,0,2,10511
1850,90,0,1,5259
1850,90,0,2,6569
1860,0,0,1,2120846
1860,0,0,2,2092162
1860,5,0,1,1804467
1860,5,0,2,1778772
1860,10,0,1,1612640
1860,10,0,2,1540350
1860,15,0,1,1438094
1860,15,0,2,1495999
1860,20,0,1,1351121
1860,20,0,2,1370462
1860,25,0,1,1217615
1860,25,0,2,1116373
1860,30,0,1,1043174
1860,30,0,2,936055
1860,35,0,1,866910
1860,35,0,2,737136
1860,40,0,1,699434
1860,40,0,2,616826
1860,45,0,1,552404
1860,45,0,2,461739
1860,50,0,1,456176
1860,50,0,2,407305
1860,55,0,1,292417
1860,55,0,2,267224
1860,60,0,1,260887
1860,60,0,2,249735
1860,65,0,1,149331
1860,65,0,2,141405
1860,70,0,1,98465
1860,70,0,2,101778
1860,75,0,1,56699
1860,75,0,2,57597
1860,80,0,1,29007
1860,80,0,2,29506
1860,85,0,1,10434
1860,85,0,2,14053
1860,90,0,1,7232
1860,90,0,2,6622
1870,0,0,1,2800083
1870,0,0,2,2717102
1870,5,0,1,2428469
1870,5,0,2,2393680
1870,10,0,1,2427341
1870,10,0,2,2342670
1870,15,0,1,1958390
1870,15,0,2,2077248
1870,20,0,1,1805303
1870,20,0,2,1909382
1870,25,0,1,1509059
1870,25,0,2,1574285
1870,30,0,1,1251534
1870,30,0,2,1275629
1870,35,0,1,1185336
1870,35,0,2,1137490
1870,40,0,1,968861
1870,40,0,2,944401
1870,45,0,1,852672
1870,45,0,2,747916
1870,50,0,1,736387
1870,50,0,2,637801
1870,55,0,1,486036
1870,55,0,2,407819
1870,60,0,1,399264
1870,60,0,2,374801
1870,65,0,1,260829
1870,65,0,2,239080
1870,70,0,1,173364
1870,70,0,2,165501
1870,75,0,1,86929
1870,75,0,2,89540
1870,80,0,1,47427
1870,80,0,2,54190
1870,85,0,1,15891
1870,85,0,2,19302
1870,90,0,1,8649
1870,90,0,2,13068
1880,0,6,1,3533662
1880,0,6,2,3421597
1880,5,6,1,3297503
1880,5,6,2,3179142
1880,10,1,2,1997
1880,10,2,1,599
1880,10,2,2,1596
1880,10,5,1,200
1880,10,5,2,199
1880,10,6,1,2911125
1880,10,6,2,2809758
1880,15,1,1,20747
1880,15,1,2,277380
1880,15,2,1,5583
1880,15,2,2,18657
1880,15,4,1,200
1880,15,4,2,1892
1880,15,5,1,2498
1880,15,5,2,5989
1880,15,6,1,2428706
1880,15,6,2,2223900
1880,20,1,1,525726
1880,20,1,2,1197869
1880,20,2,1,40394
1880,20,2,2,55146
1880,20,4,1,1396
1880,20,4,2,7482
1880,20,5,1,11863
1880,20,5,2,36706
1880,20,6,1,1968401
1880,20,6,2,1215600
1880,25,1,1,1159298
1880,25,1,2,1392687
1880,25,2,1,60650
1880,25,2,2,51579
1880,25,4,1,4089
1880,25,4,2,10567
1880,25,5,1,25135
1880,25,5,2,60658
1880,25,6,1,870221
1880,25,6,2,458750
1880,30,1,1,1236119
1880,30,1,2,1238326
1880,30,2,1,55962
1880,30,2,2,37894
1880,30,4,1,3892
1880,30,4,2,8084
1880,30,5,1,37003
1880,30,5,2,83777
1880,30,6,1,416131
1880,30,6,2,228691
1880,35,1,1,1213563
1880,35,1,2,1160080
1880,35,2,1,48604
1880,35,2,2,33202
1880,35,4,1,4992
1880,35,4,2,8378
1880,35,5,1,44500
1880,35,5,2,121783
1880,35,6,1,229113
1880,35,6,2,160274
1880,40,1,1,997154
1880,40,1,2,938721
1880,40,2,1,45009
1880,40,2,2,29506
1880,40,4,1,2793
1880,40,4,2,6182
1880,40,5,1,48463
1880,40,5,2,154399
1880,40,6,1,143928
1880,40,6,2,110627
1880,45,1,1,883724
1880,45,1,2,731892
1880,45,2,1,34324
1880,45,2,2,27831
1880,45,4,1,4288
1880,45,4,2,3690
1880,45,5,1,50965
1880,45,5,2,165781
1880,45,6,1,92672
1880,45,6,2,74517
1880,50,1,1,792796
1880,50,1,2,576825
1880,50,2,1,32025
1880,50,2,2,20741
1880,50,4,1,3394
1880,50,4,2,4783
1880,50,5,1,64937
1880,50,5,2,205310
1880,50,6,1,71332
1880,50,6,2,55353
1880,55,1,1,566433
1880,55,1,2,371421
1880,55,2,1,18250
1880,55,2,2,15060
1880,55,4,1,2095
1880,55,4,2,3090
1880,55,5,1,52966
1880,55,5,2,171760
1880,55,6,1,39403
1880,55,6,2,33512
1880,60,1,1,462498
1880,60,1,2,285866
1880,60,2,1,17259
