"Country","Year","CO2 emissions (metric tons per capita)","Electric power consumption (kWh per capita)","Energy use (kg of oil equivalent per capita)","Fertility rate, total (births per woman)","GNI per capita, Atlas method (current US$)","Internet users (per 1,000 people)","Life expectancy at birth, total (years)","Military expenditure (% of GDP)","Population, total","Prevalence of HIV, total (% of population ages 15-49)"
"Belarus",2000,5.91,2988.71,2459.67,1.29,"1.38E+03",18.69,68.01,1.26,"1.00E+07",""
"Belarus",2001,5.87,2996.81,2476.16,0,"1300",43.15,0,1.44,"9970260",""
"Belarus",2002,6.03,2982.77,2539.95,1.25,"1370",89.8,68.21,1.4,"9925000",""
"Belarus",2003,6.33,3039.1,2628.83,1.25,"1610",162.76,0,1.3,"9873968","0.31"
"Belarus",2004,0,3143.58,2725.44,1.24,"2150",250.51,68.39,1.36,"9824469",""
"Belarus",2005,0,0,0,1.24,"2760",347.23,68.48,1.24,"9775591","0.34"
"Philippines",2000,1.03,514.02,559.83,0,"1.06E+03",20.33,69.53,1.08,"7.58E+07",""
"Philippines",2001,0.99,535.18,539.4,0,"1.05E+03",25.89,0,0.99,"7.72E+07",""
"Philippines",2002,0.99,539.74,537.47,3.5,"1.03E+03",44.47,70.19,0.98,"7.87E+07",""
"Philippines",2003,0.96,574.47,524.9,0,"1.08E+03",49.9,0,1.03,"8.02E+07","0.1"
"Philippines",2004,0,597.06,542.39,0,"1.20E+03",53.91,0,0.9,"8.16E+07",""
"Philippines",2005,0,0,0,3.2,"1.29E+03",0,71.04,0.82,"8.31E+07","0.1"
"Morocco",2000,1.2,489.04,350.32,2.62,"1.19E+03",7.03,68.81,4.13,"2.85E+07",""
"Morocco",2001,1.32,508.1,370.93,2.5,"1.20E+03",13.87,0,4.08,"2.88E+07",""
"Morocco",2002,1.32,526.4,373.38,2.5,"1.19E+03",23.99,69.48,4.27,"2.92E+07",""
"Morocco",2003,1.28,562.93,370.01,2.5,"1.34E+03",33.87,0,4.22,"2.95E+07","0.09"
"Morocco",2004,0,594.3,383.8,2.43,"1.57E+03",117.3,0,4.54,"2.98E+07",""
"Morocco",2005,0,0,0,2.4,"1.75E+03",152.61,70.38,4.28,"3.01E+07","0.1"
"Afghanistan",2000,0.04,0,0,0,"",0,0,0,"",""
"Afghanistan",2001,0.03,0,0,0,"",0,0,0,"",""
"Afghanistan",2002,0.03,0,0,0,"",0.04,0,0,"",""
"Afghanistan",2003,0.03,0,0,0,"",0.73,0,0,"","0.1"
"Afghanistan",2004,0,0,0,0,"",0.87,0,0,"",""
"Afghanistan",2005,0,0,0,0,"",1,0,0,"","0.1"
"Nicaragua",2000,0.77,349.37,558.5,3.54,"760",10.16,68.87,0.78,"4920286",""
"Nicaragua",2001,0.8,349.6,559.75,0,"760",15.03,0,0.71,"4991475",""
"Nicaragua",2002,0.78,373.83,552.24,3.3,"760",17.82,69.48,0.87,"5050368",""
"Nicaragua",2003,0.77,373.59,613.75,0,"790",19.62,0,0.87,"5096507","0.21"
"Nicaragua",2004,0,416.57,643.39,0,"870",24.4,0,0.7,"5122841",""
"Nicaragua",2005,0,0,0,3.08,"950",27.19,70.39,0.69,"5149311","0.24"
"Korea, Dem. Rep.",2000,3.52,747.14,903.3,2.02,"",0,63.1,0,"2.19E+07",""
"Korea, Dem. Rep.",2001,3.63,772.66,928.63,0,"",0,0,0,"2.20E+07",""
"Korea, Dem. Rep.",2002,3.43,751.85,882.16,2,"",0,63.04,0,"2.21E+07",""
"Korea, Dem. Rep.",2003,3.48,793.87,894.09,0,"",0,0,0,"2.23E+07","0.2"
"Korea, Dem. Rep.",2004,0,826.54,910.17,0,"",0,0,0,"2.24E+07",""
"Korea, Dem. Rep.",2005,0,0,0,1.96,"",0,63.92,0,"2.25E+07","0.2"
"Kyrgyz Republic",2000,0.94,1687.38,497.43,2.4,"280",10.5,68.56,2.85,"4915300",""
"Kyrgyz Republic",2001,0.78,1443.05,451.08,2.4,"280",30.39,68.71,2.35,"4954800",""
"Kyrgyz Republic",2002,0.99,1365.26,507.89,2.5,"290",30.44,68.11,2.73,"4993200",""
"Kyrgyz Republic",2003,1.06,1646.69,531.5,2.5,"340",39.69,68.26,2.87,"5038600","0.1"
"Kyrgyz Republic",2004,0,1421.22,545.87,2.45,"400",51.64,68.15,2.85,"5092802",""
"Kyrgyz Republic",2005,0,0,0,2.41,"450",54.44,68.34,0,"5143500","0.14"
"Middle East & North Africa",2000,3.21,1075.27,1076.66,3.27,"1.66E+03",9.02,68.14,4.32,"2.79E+08",""
"Middle East & North Africa",2001,3.21,1122.92,1104.58,0,"1.71E+03",11.96,0,4.59,"2.84E+08",""
"Middle East & North Africa",2002,3.5,1176.9,1145.34,3.11,"1.70E+03",28.94,68.79,4.18,"2.90E+08",""
"Middle East & North Africa",2003,3.43,1221.77,1157.82,0,"1.81E+03",41.89,0,4.29,"2.95E+08","0.12"
"Middle East & North Africa",2004,0,1290.24,1190.15,0,"1.98E+03",60.28,0,4.28,"3.00E+08",""
"Middle East & North Africa",2005,0,0,0,2.97,"2.22E+03",88.9,69.67,3.73,"3.06E+08","0.15"
"Haiti",2000,0.17,38.17,256.84,4.14,"500",2.52,50.67,0,"7938791",""
"Haiti",2001,0.19,37.62,259.4,0,"480",3.73,0,0,"8053271",""
"Haiti",2002,0.22,32.8,287.16,3.98,"440",9.79,51.42,0,"8169525",""
"Haiti",2003,0.21,30.89,269.93,0,"410",18.1,0,0,"8287465","3.81"
"Haiti",2004,0,30.45,262.28,0,"420",59.47,0,0,"8406941",""
"Haiti",2005,0,0,0,3.75,"460",70.36,52.61,0,"8527777","3.81"
"France",2000,6.01,7491.56,4373.29,1.88,"2.45E+04",143.64,78.91,2.55,"5.89E+07",""
"France",2001,6.28,7596.85,4499.92,1.89,"2.33E+04",264.44,79.11,2.48,"5.92E+07",""
"France",2002,6.16,7571.55,4464.89,1.88,"2.25E+04",302.98,79.31,2.5,"5.96E+07",""
"France",2003,6.22,7792.99,4507.37,1.89,"2.53E+04",361.82,79.26,2.55,"6.02E+07","0.42"
"France",2004,0,7899.74,4546.66,1.9,"3.05E+04",392.13,80.16,2.57,"6.05E+07",""
"France",2005,0,0,0,1.92,"3.46E+04",429.65,80.21,2.49,"6.09E+07","0.4"
"Puerto Rico",2000,2.61,0,0,1.9,"10560",104.82,76.08,0,"3815900",""
"Puerto Rico",2001,3.75,0,0,0,"10950",156.28,0,0,"3839190",""
"Puerto Rico",2002,3.83,0,0,1.9,"",175.41,76.54,0,"3859606",""
"Puerto Rico",2003,0.54,0,0,1.9,"",197.01,0,0,"3877881",""
"Puerto Rico",2004,0,0,0,1.91,"",221.3,77.49,0,"3895107",""
"Puerto Rico",2005,0,0,0,1.8,"",0,77.65,0,"3912054",""
"Egypt, Arab Rep.",2000,2.06,999.41,681.41,0,"1.45E+03",6.69,68.79,2.68,"6.73E+07",""
"Egypt, Arab Rep.",2001,1.93,1052.29,688.89,0,"1.46E+03",8.75,0,2.78,"6.86E+07",""
"Egypt, Arab Rep.",2002,2.02,1103.2,752.63,3.3,"1.40E+03",27.18,69.61,2.83,"6.99E+07",""
"Egypt, Arab Rep.",2003,1.96,1173.06,761.33,3.2,"1.31E+03",42.09,0,2.83,"7.13E+07","0.1"
"Egypt, Arab Rep.",2004,0,1215.34,783.03,3.1,"1.25E+03",53.69,0,2.78,"7.26E+07",""
"Egypt, Arab Rep.",2005,0,0,0,3.1,"1.25E+03",67.54,70.53,2.8,"7.40E+07","0.1"
"Cape Verde",2000,0.31,0,0,3.9,"1280",17.75,69.24,1.28,"450597",""
"Cape Verde",2001,0.32,0,0,0,"1240",26.01,0,0.84,"461331",""
"Cape Verde",2002,0.31,0,0,3.77,"1210",33.87,69.84,0.73,"472372",""
"Cape Verde",2003,0.3,0,0,0,"1400",41.35,0,0.71,"483675",""
"Cape Verde",2004,0,0,0,0,"1630",50.49,0,0.71,"495171",""
"Cape Verde",2005,0,0,0,3.53,"1980",49.33,70.71,0,"506807",""
"High income: nonOECD",2000,12.57,7062.48,4902.32,2.72,"1.42E+04",175.43,75.23,5.43,"7.87E+07",""
"High income: nonOECD",2001,12.67,7218,5025.21,0,"1.42E+04",232.88,0,5.82,"8.01E+07",""
"High income: nonOECD",2002,12.9,7457.46,5182.79,2.59,"1.40E+04",290.56,75.72,5.4,"8.14E+07",""
"High income: nonOECD",2003,13.08,7832.17,5320.97,0,"1.48E+04",322.81,0,5.1,"8.29E+07",""
"High income: nonOECD",2004,0,7996.93,5586.83,0,"1.65E+04",346.73,0,4.97,"8.42E+07",""
"High income: nonOECD",2005,0,0,0,2.52,"1.80E+04",0,76.35,4.82,"8.56E+07",""
